id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
215,87,34,1,20,2025-05-19 16:34:43,2025-05-19 16:34:43,Sabzi katori,20,1,2025-05-19,16:34:43,Monday,16
216,88,3,1,10,2025-05-19 16:35:07,2025-05-19 16:35:07,chaii,10,1,2025-05-19,16:35:07,Monday,16
217,88,7,1,10,2025-05-19 16:35:07,2025-05-19 16:35:07,Chach,10,1,2025-05-19,16:35:07,Monday,16
218,89,3,2,20,2025-05-19 16:35:26,2025-05-19 16:35:26,chaii,10,1,2025-05-19,16:35:26,Monday,16
219,90,18,1,20,2025-05-19 16:36:14,2025-05-19 16:36:14,Poha,20,1,2025-05-19,16:36:14,Monday,16
220,90,31,1,40,2025-05-19 16:36:14,2025-05-19 16:36:14,TIKIYA,40,1,2025-05-19,16:36:14,Monday,16
221,91,7,1,10,2025-05-19 16:36:37,2025-05-19 16:36:37,Chach,10,1,2025-05-19,16:36:37,Monday,16
222,91,15,1,40,2025-05-19 16:36:37,2025-05-19 16:36:37,Fruit,40,1,2025-05-19,16:36:37,Monday,16
223,91,31,1,40,2025-05-19 16:36:37,2025-05-19 16:36:37,TIKIYA,40,1,2025-05-19,16:36:37,Monday,16
224,92,6,1,35,2025-05-19 16:37:18,2025-05-19 16:37:18,Lassi,35,1,2025-05-19,16:37:18,Monday,16
